jurisdiction,regime,data_type,provider,verdict,scraper,scraper_status,county_offices,easiest_access,cadence,verified
"Spotsylvania, VA",non-judicial,Recorder lien & deed index (incl. lis pendens),not_assessed,researched_needs_new_scraper,,,1,Medium,Daily,Verified
"Spotsylvania, VA",non-judicial,Divorce filings,absent,unsourced,,,0,,,
"Fredericksburg City, VA",non-judicial,Probate / estates / unknown heirs,covered,covered_by_provider,,,1,Medium,Ongoing as estates are filed.,Verified
"Fredericksburg City, VA",non-judicial,Foreclosure (first public signal),covered,covered_by_provider,,,1,Medium,Ongoing as foreclosures are filed.,Verify locally
"Fredericksburg City, VA",non-judicial,Tax sale / delinquent tax auction,low_or_zero,researched_needs_new_scraper,,,1,Hard,"Annually, but specific dates vary.",Verified
"Fredericksburg City, VA",non-judicial,Tax delinquency roll (pre-sale),covered,covered_by_provider,,,2,Hard,Ongoing roll.,Verified
"Fredericksburg City, VA",non-judicial,Code violations,absent,researched_needs_new_scraper,,,2,Hard,Ongoing.,Verified
"Fredericksburg City, VA",non-judicial,Condemned / unsafe / demolition,not_assessed,researched_needs_new_scraper,,,1,Hard,Ongoing.,Verified
"Fredericksburg City, VA",non-judicial,Evictions (multiple-eviction landlords),absent,researched_needs_new_scraper,,,1,Hard,Ongoing.,Verify locally
"Fredericksburg City, VA",non-judicial,Recorder lien & deed index (incl. lis pendens),not_assessed,researched_needs_new_scraper,,,1,Medium,Ongoing.,Verify locally
"Fredericksburg City, VA",non-judicial,Divorce filings,absent,unsourced,,,0,,,
